,Country Name,indicator,Indicator Name_y,Indicator Name_x,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Type
0,Angola,other emissions,Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",410.6709098,-331.55193360000004,-536.0659441,-159.85105900000002,1990.5578289999999,-1459.180233,-2181.4706079999996,-2191.464963,-2269.064511,-1652.951637,-1604.0378759999999,-1832.51067,-1991.25859,-2078.534272,-2161.559957,-2394.978779,-2326.8353230000002,-2380.311671,624.4578115,324.502039,34.91162489,200.96346530000002,125.275373,227.4254758,266.69171209999996,265.8983082,817.6772947000001,693.2379956,865.9201011,873.2810912999998,872.8745542000001,829.8091747999999,1688.998684,1614.266421,603.5270117,612.9086982000001,-1816.567845,-3650.637936,-5363.947897,-4727.137272,-3705.3494960000003,Tobacco
1,Albania,other emissions,Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",81.99968994,110.9946045,141.92254880000002,169.38098630000002,207.0886768,237.31301269999997,257.40202880000004,297.1585522,327.69539310000005,348.85542480000004,366.3387964,414.07034419999997,449.54078610000005,463.8016772,488.86139160000005,239.3414258,559.9126562000001,457.04274169999997,485.666467,547.3045682999999,625.8320258,611.2931859,627.9275061000001,619.9743158,627.3437482,624.9905927,150.50691469999998,176.0340351,1377.706036,193.0751572,284.0118298,205.37370369999996,-468.777323,663.9293741,367.3075873,2093.213176,339.07875789999997,749.5053122,720.1875342999999,633.3771719,900.0224291000001,Tobacco
2,United Arab Emirates,other emissions,Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",2413.8551899999998,2438.8957800000003,2475.737968,2401.445393,2405.77326,2315.161359,2302.332089,2330.692729,2351.945963,2170.719946,2117.41881,2226.685977,1947.7445280000002,1564.832141,1345.033267,-2870.77692,1156.390942,914.1104065,1312.181738,-97.55766121,404.6307203,-228.41938480000002,-1081.491353,-1450.570708,-2154.776804,-2185.256453,-2549.219861,-2592.489661,4.065466309,-81.42796631,113.1268997,146.9400177,354.3073425,213.76809690000002,412.69778439999993,5477.98259,-3384.513794,-8246.026868,-5997.487247,-5645.832835,-10935.14254,Tobacco
3,Argentina,other emissions,Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",14205.925169999999,10569.76084,11693.03439,14271.12398,17906.51684,12852.30469,15510.3002,17601.01197,19326.46795,16800.2565,17864.03225,18212.1174,14073.78563,14934.18084,16058.06328,16165.09035,16691.83924,17256.47193,19713.12355,18098.22365,17369.25977,20655.08581,9111.498281,11626.59715,12190.27046,18816.2293,28348.3,47755.25957,46530.49727,49479.53828,44855.19414,58388.32246,67377.54629,50400.76855,54353.811910000004,58631.14922000001,71820.98125,56140.2047,38735.2331,41370.165960000006,48642.335719999995,Tobacco
4,Armenia,other emissions,Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",-6922.578254000001,-7428.708301000001,-7948.660286,-5769.096841,-5967.7383979999995,-6082.3842460000005,-6194.8803100000005,-6301.696655,-6375.177893,-6201.0647579999995,-6032.632947,-6026.813708,-6106.151489,-6113.452063000001,-6033.573694,-6326.486986999999,-6023.259656,-5963.706348,463.1375215,466.72189110000005,377.37112210000004,344.34280099999995,315.2231891,312.6644756,384.0270394,315.3199489,264.5063391,233.78253089999998,289.7622903,277.6621733,290.9910818,328.8514187,492.85305470000003,425.05232209999997,559.8451084,383.053829,2822.313089,2598.419264,2957.12365,3323.652933,3154.9967469999997,Tobacco
5,American Samoa,other emissions,Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",-3.33e-16,2.22e-16,-5.549999999999999e-16,7.77e-16,0.0,-4.44e-16,-8.88e-16,-4.44e-16,8.88e-16,2.2199999999999998e-15,1.55e-15,-7.77e-16,-6.66e-16,4.44e-16,1.11e-16,1.3300000000000001e-15,0.0,6.66e-16,1.3300000000000001e-15,8.88e-16,-2.6600000000000002e-15,-7.77e-16,3.33e-16,1.11e-16,1.55e-15,1.78e-15,2.22e-16,-1.78e-15,3.55e-15,0.0,0.0,0.0,0.0,-3.55e-15,0.0,0.0,3.55e-15,0.0,3.55e-15,-3.55e-15,7.109999999999999e-15,Tobacco
6,Australia,other emissions,Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",20480.07334,10112.63191,13474.218519999999,18236.84287,28145.405489999997,28655.86546,18386.20463,29319.41095,33960.198469999996,17566.611969999998,29812.33263,18980.26206,21024.22162,36588.76408,27892.564410000003,9421.270891,20981.74076,23024.1855,28036.73165,32592.2623,27475.132,23301.7963,34771.88063,17753.03845,23491.53772,416602.5195,399200.2617,647291.291,520957.4473,654627.6309,531906.0898,439154.3438,542642.1855,314414.4609,536613.8945,425981.9629,283596.3613,482060.3353,189051.6916,181845.0876,164076.9229,Tobacco
7,Austria,other emissions,Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",1091.845859,1184.457363,1036.3218550000001,1097.459336,1133.055449,1202.178359,1303.891816,1377.231191,1362.786797,1380.055859,1330.763066,1420.485547,1836.066406,1895.026953,1959.251367,1463.340625,2279.431543,2383.703711,3282.750977,2867.760254,2710.005469,2610.069727,2736.9363280000002,2773.808594,3501.287988,3284.090039,3659.156836,3621.490723,2054.8511719999997,1228.379533,1192.552229,1211.115608,4384.519518,4668.976053,5516.694629,5404.124315999999,6010.321365,8358.350859999999,6919.826014,6014.721565,5304.626913,Tobacco
8,Azerbaijan,other emissions,Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",-15049.068519999999,-15631.05724,-16211.341919999999,-13216.26913,-14138.4328,-14930.46935,-15752.46561,-16386.99115,-17059.79462,-14747.884059999998,-14913.89792,-15447.98115,-16318.58691,-16279.46616,-18170.73569,-20652.62349,-19615.18727,-20384.60674,10801.05991,13368.36334,,3839.657157,4310.1939409999995,-356.66454960000004,1535.971044,1505.653575,3553.716114,2495.5308579999996,2810.22442,2529.354467,1168.234063,1881.636187,2754.7860739999996,2701.076029,2243.869793,-89.44503320000001,3551.57064,3328.114282,5143.545716,4360.6119100000005,4671.884255,Tobacco
9,Burundi,other emissions,Total greenhouse gas emissions (kt of CO2 equivalent),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",-132.0965747,-123.3101465,-123.890274,-138.8503111,-111.943599,-119.87337079999999,-116.9338659,-143.2232742,-142.73544640000003,-124.8758067,-152.0524132,-123.97747460000001,-94.17082465,-100.509874,-92.10690576,-159.1823125,-106.3503156,-104.8113643,-13.34953556,-50.99146142,-80.61377539,-54.90927364,-127.38391829999999,-136.8255566,-114.01202340000002,-198.8003409,2983.7560329999997,91.74012186,782.8540501,28.31921486,1617.482561,1745.895348,1742.637971,1620.528674,1795.751366,1578.34572,1692.823995,1772.812402,1684.562548,1710.1907440000002,1737.9123969999998,Tobacco
